Anexos;[R];*;[I];Etapa atual;CAMPUS;Coligada do alarme;Código atendente alarmado;Coligada do representante;Representante;GRUPO ATENDIMENTO ATUAL;CODTIPOCURSO;TIPOCURSO;CURSO;PLETIVO;RELACIONADO1;SITUACAOALARME1;IMGSTATUS1;ANEXO1;Atendimento;Cliente;Código do Cliente;Tipo cliente;Coligada do cliente;Status;Etapa atual;Classificação;Assunto;Categoria;Descrição do produto;Atendente responsável;Prazo limite final;Prioridade;Abertura;Fechamento;Coligada;Localidade;Código do atendimento;Código do atendente responsável;Coligada do responsável;Código de classificação;Coligada do produto;Produto;Detalhe do produto;Categoria geral;Grupo de atendimento;Tipo de atendimento;Código da etapa atual;Campanha;Grupo/Fila;TIPO_ABERTURA
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;42;GRADUAÇÃO - CATÓLICA.;FARMÁCIA;2026/2;';Z;F;ANEXO;1-1-8000284;NATALIA BARBOSA ANDRADE;UC13692250;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;10/06/2026 14:01;10/06/2026 21:40;1;1;8000284;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;42;GRADUAÇÃO - CATÓLICA.;FILOSOFIA;2026/1;';Z;F;ANEXO;1-1-8000327;RAFAEL BARBOSA ANDRADE;UC84424097;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;24/03/2026 17:21;29/03/2026 17:36;1;1;8000327;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;240;42;GRADUAÇÃO - CATÓLICA.;FILOSOFIA;2026/1;';Z;F;ANEXO;1-1-8000302;RAFAEL BARBOSA ANDRADE;UC74730572;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;11/06/2026 17:10;20/06/2026 18:09;1;1;8000302;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;346;42;GRADUAÇÃO - CATÓLICA.;FILOSOFIA;2026/1;';Z;F;ANEXO;1-1-8000265;RAFAEL BARBOSA ANDRADE;UC39696351;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;19/03/2026 15:36;20/03/2026 21:25;1;1;8000265;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;42;GRADUAÇÃO - CATÓLICA.;FILOSOFIA;2026/1;';Z;F;ANEXO;1-1-8000318;RAFAEL BARBOSA ANDRADE;UC84665095;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;25/03/2026 17:22;31/03/2026 22:31;1;1;8000318;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;240;42;GRADUAÇÃO - CATÓLICA.;FARMÁCIA;2025/4;';Z;F;ANEXO;1-1-8000278;CAIO GOMES ANDRADE;UC57383448;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;12/05/2026 20:11;23/05/2026 02:45;1;1;8000278;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;ADMINISTRAÇÃO;2026/1;';Z;F;ANEXO;1-1-8000266;SOFIA FERREIRA ANDRADE;A40125332;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega de Estágio Em Empresa Com Vínculo;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;03/04/2026 15:29;05/04/2026 20:33;1;1;8000266;795;1;00017;1;64;001;8;48;1512;4321;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;354;37;GRADUAÇÃO - CATÓLICA;ENFERMAGEM;2026/1;';Z;F;ANEXO;1-1-8000325;LARISSA DUARTE ANDRADE;UC87464844;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;25/04/2026 16:22;29/04/2026 16:53;1;1;8000325;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;346;35;STRICTO SENSU - CATÓLICA;DIREITO;2025/2;';Z;F;ANEXO;1-1-8000324;ANA LIMA ANDRADE;UC49384635;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - PÓS;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;07/04/2026 21:06;17/04/2026 05:01;1;1;8000324;795;1;00019;1;67;1;10;41;1723;5324;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;223;37;GRADUAÇÃO - CATÓLICA;ADMINISTRAÇÃO;2026/1;';Z;F;ANEXO;1-1-8000340;BRUNO LIMA ANDRADE;UC25467570;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;28/05/2026 17:50;29/05/2026 00:52;1;1;8000340;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
Z;;Z;A;Analisar Solicitação - Coordenação de Curso;Católica de Tocantins - Unidade I;;;;;;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;Enfermagem;2026/1;';Z;A;Z;1-1-8000335;YASMIN BARBOSA ANDRADE;FC83971725;ALUNO;1;Em andamento;Analisar Solicitação - Coordenação de Curso;Protocolo Católica do Tocantins;Justificativa de Faltas;Protocolo Católica do Tocantins;Protocolo Católica do Tocantins;JOAO CARDOSO AZEVEDO;20/04/2026 15:58;Normal;12/04/2026 15:46;;1;1;8000335;8663;1;00012;1;29;Protocolo;2;8;1329;3648;; ;WEB
Z;;Z;F;Solicitação Finalizada;Católica de Tocantins - Unidade I;;;;;;12;GRADUAÇÃO - CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS;Direito;2026/1;';Z;F;Z;1-1-8000339;CARLA LIMA ANDRADE;FC31658661;ALUNO;1;Concluído confirmado;Solicitação Finalizada;Protocolo Católica do Tocantins;Renovação de Desconto;Protocolo Católica do Tocantins;Protocolo Católica do Tocantins;CARLA CARDOSO AZEVEDO;;;24/03/2026 17:22;01/04/2026 19:26;1;1;8000339;795;1;00012;1;29;Protocolo;2;8;1543;4485;; ;WEB
ANEXO;;Z;F;APROVADO;;;;;;;;;;;';Z;F;ANEXO;1-1-8000342;DELTA CONSULTORIA LTDA;CF06949774;CLIENTE;1;Concluído confirmado;APROVADO;GERAL;Aprovação de Movimentos;;;LETICIA CARDOSO AZEVEDO;;Normal;04/05/2026 22:14;;1;1;8000342;6468;1;00001;;;;;66;1776;5641;; ;PRESECIAL
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;37;GRADUAÇÃO - CATÓLICA;PSICOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000298;DANIEL LIMA ANDRADE;UC17010083;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;23/04/2026 22:27;23/04/2026 22:38;1;1;8000298;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;37;GRADUAÇÃO - CATÓLICA;BIOMEDICINA;2026/1;';Z;F;ANEXO;1-1-8000308;ELISA LIMA ANDRADE;UC53623665;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;04/06/2026 23:08;14/06/2026 01:47;1;1;8000308;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
Z;;Z;F;Conclusão;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;ENGENHARIA CIVIL;2026/1;';Z;F;Z;1-1-8000267;FELIPE LIMA ANDRADE;A31859953;ALUNO;1;Concluído confirmado;Conclusão;UGR - Graduação Unileste;PORTAL - Alter Estágio Não Obrig. para Obrigatório;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;29/04/2026 21:58;08/05/2026 03:52;1;1;8000267;795;1;00017;1;64;001;8;48;1422;3943;; ;WEB
Z;;Z;F;Processo Deferido - Arquivo;Atende;;;;;;42;GRADUAÇÃO - CATÓLICA.;FONOAUDIOLOGIA;2026/2;';Z;F;Z;1-1-8000323;GABRIELA LIMA ANDRADE;UC08422490;ALUNO;1;Concluído confirmado;Processo Deferido - Arquivo;Processos de Solicitação UCB;UCB-Mudança de Turno/Dia dos Encontros Presenciais;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CAIO CARDOSO AZEVEDO;;;22/03/2026 23:21;01/04/2026 04:52;1;1;8000323;1519;1;00019;1;67;1;10;12;1668;4976;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;240;37;GRADUAÇÃO - CATÓLICA;FISIOTERAPIA;2026/1;';Z;F;ANEXO;1-1-8000292;HENRIQUE LIMA ANDRADE;UC85075952;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;28/04/2026 22:43;06/05/2026 04:57;1;1;8000292;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;223;37;GRADUAÇÃO - CATÓLICA;RELAÇÕES INTERNACIONAIS;2026/1;';Z;F;ANEXO;1-1-8000350;ISABELA LIMA ANDRADE;UC86869302;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;08/06/2026 23:53;15/06/2026 06:29;1;1;8000350;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;223;42;GRADUAÇÃO - CATÓLICA.;ANÁLISE E DESENVOLVIMENTO DE SISTEMAS;2026/1;';Z;F;ANEXO;1-1-8000272;JOAO LIMA ANDRADE;UC57898443;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;14/03/2026 07:43;22/03/2026 08:20;1;1;8000272;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;37;GRADUAÇÃO - CATÓLICA;FISIOTERAPIA;2026/1;';Z;F;ANEXO;1-1-8000320;LARISSA LIMA ANDRADE;UC87907494;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;02/05/2026 09:54;11/05/2026 16:51;1;1;8000320;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;C;Abertura de Atendimento para Aprovação sem Orçamen;;;;;;;;;;;';Z;C;ANEXO;1-1-8000351;;;;;Cancelado;Abertura de Atendimento para Aprovação sem Orçamen;GERAL;Aprovação de Movimentos;;;RODRIGO CARDOSO AZEVEDO;;Normal;16/05/2026 09:18;26/05/2026 14:12;1;1;8000351;2585;1;00001;;;;;66;1775;5633;; ;PRESECIAL
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;37;GRADUAÇÃO - CATÓLICA;ODONTOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000328;DANIEL FERREIRA ANDRADE;UC80595532;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;07/04/2026 08:55;13/04/2026 16:05;1;1;8000328;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;354;37;GRADUAÇÃO - CATÓLICA;ODONTOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000331;DANIEL FERREIRA ANDRADE;UC81263168;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;11/04/2026 09:14;15/04/2026 14:25;1;1;8000331;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;37;GRADUAÇÃO - CATÓLICA;ODONTOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000334;DANIEL FERREIRA ANDRADE;UC62485995;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;26/04/2026 11:40;27/04/2026 15:13;1;1;8000334;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;APROVADO;;;;;;;;;;;';Z;F;ANEXO;1-1-8000273;FORTE TECNOLOGIA S/A;CF34187784;CLIENTE;1;Concluído confirmado;APROVADO;GERAL;Aprovação de Movimentos;;;ANA DUARTE AZEVEDO;;Normal;28/03/2026 06:35;;1;1;8000273;5852;1;00001;;;;;66;1776;5641;; ;PRESECIAL
Z;;Z;A;Analisar soliticação - Coordenação de Curso;;;;;;;35;STRICTO SENSU - CATÓLICA;ECONOMIA DE EMPRESAS;2026/1;';Z;A;Z;1-1-8000362;NATALIA LIMA ANDRADE;UC53100135;ALUNO;1;Em andamento;Analisar soliticação - Coordenação de Curso;Processos de Solicitação UCB;Trancamento de Matrícula;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;BRUNO DUARTE AZEVEDO;;;18/05/2026 09:28;;1;1;8000362;4055;1;00019;1;67;1;10;8;1327;3959;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;223;37;GRADUAÇÃO - CATÓLICA;DIREITO;2026/1;';Z;F;ANEXO;1-1-8000345;GABRIELA FERREIRA ANDRADE;UC53712770;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;12/04/2026 08:48;17/04/2026 14:48;1;1;8000345;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
Z;;Z;A;Execução da solicitação;Secretaria Faculdade Marista de Recife;;;;;;33;GRADUAÇÃO - CATÓLICA RECIFE;Enfermagem;2026/1;';Z;A;Z;1-1-8000321;OTAVIO LIMA ANDRADE;FR871378;ALUNO;1;Em andamento;Execução da solicitação;FR - Faculdade de Recife;Declaração de Bolsista;FR - Faculdade de Recife;Serviço de Protocolo - FR;CARLA DUARTE AZEVEDO;;;19/03/2026 08:51;;1;1;8000321;6839;1;00023;1;72;001;14;49;1587;4651;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;346;37;GRADUAÇÃO - CATÓLICA;ENFERMAGEM;2026/1;';Z;F;ANEXO;1-1-8000341;ELISA FERREIRA ANDRADE;UC21136291;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;27/03/2026 14:05;02/04/2026 19:24;1;1;8000341;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;240;42;GRADUAÇÃO - CATÓLICA.;FARMÁCIA;2026/2;';Z;F;ANEXO;1-1-8000330;PATRICIA LIMA ANDRADE;UC72277821;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;24/04/2026 10:12;25/04/2026 17:38;1;1;8000330;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;A;Análise educacional;UCB - Câmpus Taguatinga;;;;;354;35;STRICTO SENSU - CATÓLICA;POLÍTICAS PÚBLICAS;2026/1;';Z;A;ANEXO;1-1-8000343;RAFAEL LIMA ANDRADE;UC79351084;ALUNO;1;Em andamento;Análise educacional;Processos de Solicitação UCB;UCB - Atividade complementar - PÓS;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;VANESSA CARDOSO AZEVEDO;;;06/06/2026 12:08;;1;1;8000343;5192;1;00019;1;67;1;10;41;1723;5323;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;ADMINISTRAÇÃO;2026/1;';Z;F;ANEXO;1-1-8000356;BRUNO BARBOSA ANDRADE;A35235907;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;25/04/2026 09:29;03/05/2026 13:05;1;1;8000356;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;223;42;GRADUAÇÃO - CATÓLICA.;GESTÃO DA TECNOLOGIA DA INFORMAÇÃO;2025/2;';Z;F;ANEXO;1-1-8000364;SOFIA LIMA ANDRADE;UC83126401;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;26/03/2026 14:28;28/03/2026 18:04;1;1;8000364;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;42;GRADUAÇÃO - CATÓLICA.;FISIOTERAPIA;2026/1;';Z;F;ANEXO;1-1-8000304;ISABELA FERREIRA ANDRADE;UC42851342;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;31/03/2026 13:32;07/04/2026 16:52;1;1;8000304;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;PSICOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000336;THIAGO LIMA ANDRADE;A33831700;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;UGR - Entrega de TCE;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;14/05/2026 13:03;24/05/2026 16:08;1;1;8000336;795;1;00017;1;64;001;8;48;782;1921;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;37;GRADUAÇÃO - CATÓLICA;RELAÇÕES INTERNACIONAIS;2026/1;';Z;F;ANEXO;1-1-8000354;PATRICIA FERREIRA ANDRADE;UC37708041;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;15/03/2026 11:45;20/03/2026 19:00;1;1;8000354;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;37;GRADUAÇÃO - CATÓLICA;RELAÇÕES INTERNACIONAIS;2026/1;';Z;F;ANEXO;1-1-8000313;PATRICIA FERREIRA ANDRADE;UC59973293;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;10/05/2026 13:59;16/05/2026 14:45;1;1;8000313;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;37;GRADUAÇÃO - CATÓLICA;ENFERMAGEM;2026/1;';Z;F;ANEXO;1-1-8000303;VANESSA LIMA ANDRADE;UC45915468;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;18/05/2026 12:24;27/05/2026 16:03;1;1;8000303;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
Z;;Z;R;Execução da solicitação;Secretaria Acadêmica;;;;;;33;GRADUAÇÃO - CATÓLICA RECIFE;Direito;2026/1;';Z;R;Z;1-1-8000361;WILLIAM LIMA ANDRADE;FR951394;ALUNO;1;Concluído a responder;Execução da solicitação;FR - Faculdade de Recife;Declaração Especifica;FR - Faculdade de Recife;Serviço de Protocolo - FR;CARLA CARDOSO AZEVEDO;;;19/03/2026 12:13;;1;1;8000361;795;1;00023;1;72;001;14;49;816;73;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;DIREITO;2026/1;';Z;F;ANEXO;1-1-8000347;FELIPE GOMES ANDRADE;A36553282;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;UGR - Entrega de Rescisão de estágio;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;08/06/2026 11:34;10/06/2026 19:24;1;1;8000347;795;1;00017;1;64;001;8;48;789;1936;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;346;37;GRADUAÇÃO - CATÓLICA;RELAÇÕES INTERNACIONAIS;2026/1;';Z;F;ANEXO;1-1-8000329;PATRICIA FERREIRA ANDRADE;UC04890445;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;13/05/2026 13:19;21/05/2026 18:00;1;1;8000329;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;28;37;GRADUAÇÃO - CATÓLICA;RELAÇÕES INTERNACIONAIS;2026/1;';Z;F;ANEXO;1-1-8000338;PATRICIA FERREIRA ANDRADE;UC91915295;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;17/03/2026 11:35;24/03/2026 13:16;1;1;8000338;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;DIREITO;2026/1;';Z;F;ANEXO;1-1-8000376;YASMIN LIMA ANDRADE;A76033692;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;UGR - Entrega de TCE;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;06/06/2026 13:27;16/06/2026 19:40;1;1;8000376;795;1;00017;1;64;001;8;48;782;1921;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;353;37;GRADUAÇÃO - CATÓLICA;RELAÇÕES INTERNACIONAIS;2026/1;';Z;F;ANEXO;1-1-8000378;PATRICIA FERREIRA ANDRADE;UC61820980;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - Presencial;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;02/06/2026 16:37;09/06/2026 20:02;1;1;8000378;795;1;00019;1;67;1;10;55;1721;5320;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;Campus Coronel Fabriciano;;;;;;14;GRADUAÇÃO - UNILESTE;DIREITO;2026/1;';Z;F;ANEXO;1-1-8000375;FELIPE GOMES ANDRADE;A01367901;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;UGR - Entrega de Rescisão de estágio;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;14/04/2026 14:59;19/04/2026 15:02;1;1;8000375;795;1;00017;1;64;001;8;48;789;1936;; ;WEB
ANEXO;;Z;F;Finalizado;UCB - Câmpus Taguatinga;;;;;346;42;GRADUAÇÃO - CATÓLICA.;FONOAUDIOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000333;MARIANA LIMA ANDRADE;UC22706150;ALUNO;1;Concluído confirmado;Finalizado;Processos de Solicitação UCB;UCB - Atividade complementar - EAD/Semi/Híbrido;Processos de Solicitação UCB;Protocolo de Solicitações da UCB;CARLA CARDOSO AZEVEDO;;;22/05/2026 15:47;01/06/2026 16:30;1;1;8000333;795;1;00019;1;67;1;10;12;1722;5322;; ;WEB
ANEXO;;Z;F;Conclusão do Atendimento;;;;;;;28;GRADUAÇÃO - UNILESTE - IPATINGA;ODONTOLOGIA;2026/1;';Z;F;ANEXO;1-1-8000346;RAFAEL FERREIRA ANDRADE;A16636586;ALUNO;1;Concluído confirmado;Conclusão do Atendimento;UGR - Graduação Unileste;PORTAL - Entrega Certificados Ativ. Complementares;UGR - Protocolos Graduação Unileste;UGR- Graduação Unileste;CARLA CARDOSO AZEVEDO;;Normal;30/03/2026 14:37;08/04/2026 20:11;1;1;8000346;795;1;00017;1;64;001;8;32;1413;3934;; ;WEB
